filename;Type;Strain;Rep;full_name;species
20220922_LFX_RH_019_RH110_P2_SPEMeOH_B07_1_pos.mzML;blank;634;rep1;blank_634_rep1;Sclerotinia sp.(634)
20220922_LFX_RH_051_RH110_P2_SPEMeOH_E03_1_pos.mzML;blank;634;rep2;blank_634_rep2;Sclerotinia sp.(634)
20220922_LFX_RH_056_RH110_P2_SPEMeOH_E08_1_pos.mzML;blank;634;rep3;blank_634_rep3;Sclerotinia sp.(634)
20220922_LFX_RH_016_RH110_P1_SPEMeOH_B04_1_pos.mzML;blank;730;rep1;blank_730_rep1;B. pseudocinerea aff.(730)
20220922_LFX_RH_033_RH110_P1_SPEMeOH_C09_1_pos.mzML;blank;730;rep2;blank_730_rep2;B. pseudocinerea aff.(730)
20220922_LFX_RH_072_RH110_P1_SPEMeOH_F12_1_pos.mzML;blank;730;rep3;blank_730_rep3;B. pseudocinerea aff.(730)
20220922_LFX_RH_032_RH110_P1_SPEMeOH_C08_1_pos.mzML;blank;740;rep1;blank_740_rep1;B. cinerea(740)
20220922_LFX_RH_048_RH110_P1_SPEMeOH_D12_1_pos.mzML;blank;740;rep2;blank_740_rep2;B. cinerea(740)
20220922_LFX_RH_052_RH110_P1_SPEMeOH_E04_1_pos.mzML;blank;740;rep3;blank_740_rep3;B. cinerea(740)
20220922_LFX_RH_029_RH110_P1_SPEMeOH_C05_1_pos.mzML;blank;784;rep1;blank_784_rep1;B. cinerea(784)
20220922_LFX_RH_039_RH110_P1_SPEMeOH_D03_1_pos.mzML;blank;784;rep2;blank_784_rep2;B. cinerea(784)
20220922_LFX_RH_046_RH110_P1_SPEMeOH_D10_1_pos.mzML;blank;784;rep3;blank_784_rep3;B. cinerea(784)
20220922_LFX_RH_009_RH110_P2_SPEMeOH_A09_1_pos.mzML;blank;1016;rep1;blank_1016_rep1;B. pseudocinerea(1016)
20220922_LFX_RH_015_RH110_P2_SPEMeOH_B03_1_pos.mzML;blank;1016;rep2;blank_1016_rep2;B. pseudocinerea(1016)
